"estimator","cohort","event_time","estimate","se","identified","is_pre"
"CS",2001,0,-1.46451590113832e-18,0.0723220594392977,TRUE,FALSE
"CS",2001,1,-2.43279556404376e-18,0.0723220594392977,TRUE,FALSE
"CS",2001,2,0.146341463414634,0.0617383434237906,TRUE,FALSE
"CS",2001,3,-0.146341463414634,0.092607515135686,TRUE,FALSE
"CS",2001,4,0.048780487804878,0.0705581067700465,TRUE,FALSE
"CS",2001,5,0.0731707317073171,0.0599743907545396,TRUE,FALSE
"CS",2001,6,0.048780487804878,0.0670302014315442,TRUE,FALSE
"CS",2001,7,-0.024390243902439,0.0732040357739233,TRUE,FALSE
"CS",2001,8,-0.0975609756097561,0.0793778701163023,TRUE,FALSE
"CS",2001,9,-0.0975609756097561,0.0617383434237907,TRUE,FALSE
"CS",2001,10,-0.048780487804878,0.0740860121085488,TRUE,FALSE
"CS",2001,11,-0.121951219512195,0.0952534441395629,TRUE,FALSE
"CS",2001,12,-0.0975609756097561,0.0758499647778,TRUE,FALSE
"CS",2001,13,-0.121951219512195,0.0811418227855535,TRUE,FALSE
"CS",2001,14,-0.0731707317073171,0.0776139174470511,TRUE,FALSE
"CS",2001,15,-0.0975609756097561,0.0723220594392977,TRUE,FALSE
"CS",2001,16,-0.048780487804878,0.0776139174470512,TRUE,FALSE
"CS",2001,17,-0.024390243902439,0.102309254816567,TRUE,FALSE
"CS",2001,18,-0.0975609756097561,0.086433680793307,TRUE,FALSE
"CS",2001,19,0,0.0723220594392977,TRUE,FALSE
"CS",2002,-1,-0.4,0.237216354960896,TRUE,TRUE
"CS",2002,0,0.2,0.237216354960896,TRUE,FALSE
"CS",2002,1,0.346341463414634,0.229490242269576,TRUE,FALSE
"CS",2002,2,-0.146341463414634,0.0767319411124256,TRUE,FALSE
"CS",2002,3,0.248780487804878,0.230160544283892,TRUE,FALSE
"CS",2002,4,0.0731707317073171,0.0846697281240558,TRUE,FALSE
"CS",2002,5,0.648780487804878,0.237216354960896,TRUE,FALSE
"CS",2002,6,0.375609756097561,0.233688449622394,TRUE,FALSE
"CS",2002,7,-0.0975609756097561,0.0758499647778,TRUE,FALSE
"CS",2002,8,-0.0975609756097561,0.065266248762293,TRUE,FALSE
"CS",2002,9,0.551219512195122,0.236546052946581,TRUE,FALSE
"CS",2002,10,-0.121951219512195,0.0811418227855535,TRUE,FALSE
"CS",2002,11,0.102439024390244,0.230160544283892,TRUE,FALSE
"CS",2002,12,0.0780487804878049,0.233018147608079,TRUE,FALSE
"CS",2002,13,0.326829268292683,0.237004680640586,TRUE,FALSE
"CS",2002,14,-0.0975609756097561,0.065266248762293,TRUE,FALSE
"CS",2002,15,0.551219512195122,0.243178514982965,TRUE,FALSE
"CS",2002,16,0.575609756097561,0.241626236634024,TRUE,FALSE
"CS",2002,17,0.302439024390244,0.22003545596239,TRUE,FALSE
"CS",2002,18,0.4,0.237216354960896,TRUE,FALSE
"CS",2003,-2,-1.46451590113832e-18,0.0723220594392977,TRUE,TRUE
"CS",2003,-1,0,0.0723220594392977,TRUE,TRUE
"CS",2003,0,0.146341463414634,0.0564464854160372,TRUE,FALSE
"CS",2003,1,-0.146341463414634,0.0829057754548047,TRUE,FALSE
"CS",2003,2,0.048780487804878,0.0705581067700465,TRUE,FALSE
"CS",2003,3,0.0731707317073171,0.0626203197584163,TRUE,FALSE
"CS",2003,4,0.048780487804878,0.0705581067700465,TRUE,FALSE
"CS",2003,5,-0.024390243902439,0.0987813494780651,TRUE,FALSE
"CS",2003,6,-0.0975609756097561,0.0582104380852884,TRUE,FALSE
"CS",2003,7,-0.0975609756097561,0.0723220594392977,TRUE,FALSE
"CS",2003,8,-0.048780487804878,0.0687941541007953,TRUE,FALSE
"CS",2003,9,-0.121951219512195,0.0811418227855534,TRUE,FALSE
"CS",2003,10,-0.0975609756097561,0.086433680793307,TRUE,FALSE
"CS",2003,11,-0.121951219512195,0.0714400831046721,TRUE,FALSE
"CS",2003,12,-0.0731707317073171,0.0767319411124256,TRUE,FALSE
"CS",2003,13,-0.0975609756097561,0.0687941541007953,TRUE,FALSE
"CS",2003,14,-0.048780487804878,0.0776139174470511,TRUE,FALSE
"CS",2003,15,-0.024390243902439,0.0723220594392977,TRUE,FALSE
"CS",2003,16,-0.0975609756097561,0.0687941541007953,TRUE,FALSE
"CS",2003,17,0,0.0723220594392977,TRUE,FALSE
"CS",2004,-3,-1.46216648012813e-18,0.0723220594392977,TRUE,TRUE
"CS",2004,-2,0,0.0723220594392977,TRUE,TRUE
"CS",2004,-1,0.146341463414634,0.0564464854160372,TRUE,TRUE
"CS",2004,0,-0.292682926829268,0.0749679884431744,TRUE,FALSE
"CS",2004,1,-0.0975609756097561,0.0538005564121605,TRUE,FALSE
"CS",2004,2,-0.0731707317073171,0.0414528877274023,TRUE,FALSE
"CS",2004,3,-0.0975609756097561,0.0476267220697814,TRUE,FALSE
"CS",2004,4,-0.170731707317073,0.0599743907545395,TRUE,FALSE
"CS",2004,5,-0.24390243902439,0.0643842724276674,TRUE,FALSE
"CS",2004,6,-0.24390243902439,0.0635022960930418,TRUE,FALSE
"CS",2004,7,-0.195121951219512,0.0643842724276674,TRUE,FALSE
"CS",2004,8,-0.268292682926829,0.0723220594392977,TRUE,FALSE
"CS",2004,9,-0.24390243902439,0.0732040357739232,TRUE,FALSE
"CS",2004,10,-0.268292682926829,0.065266248762293,TRUE,FALSE
"CS",2004,11,-0.219512195121951,0.0687941541007953,TRUE,FALSE
"CS",2004,12,-0.24390243902439,0.0635022960930419,TRUE,FALSE
"CS",2004,13,-0.695121951219512,0.328315690564372,TRUE,FALSE
"CS",2004,14,-0.170731707317073,0.0599743907545395,TRUE,FALSE
"CS",2004,15,-0.24390243902439,0.0714400831046721,TRUE,FALSE
"CS",2004,16,-0.646341463414634,0.375942412634154,TRUE,FALSE
"CS",2008,-7,-1.46451590113832e-18,0.0723220594392977,TRUE,TRUE
"CS",2008,-6,1,0.0723220594392977,TRUE,TRUE
"CS",2008,-5,-0.853658536585366,0.0564464854160372,TRUE,TRUE
"CS",2008,-4,-0.292682926829268,0.0749679884431744,TRUE,TRUE
"CS",2008,-3,0.195121951219512,0.0784958937816768,TRUE,TRUE
"CS",2008,-2,0.024390243902439,0.0458627694005303,TRUE,TRUE
"CS",2008,-1,-0.024390243902439,0.0405709113927767,TRUE,TRUE
"CS",2008,0,-0.0731707317073171,0.0599743907545396,TRUE,FALSE
"CS",2008,1,0.853658536585366,0.0776139174470512,TRUE,FALSE
