"post","rows_per_unit","n_cohorts","n_treated","estimate","se","lo","hi"
4,9,6,14,-0.0615125201022484,0.0692438762505653,-0.197230517553356,0.0742054773488595
5,10,6,14,-0.0767885204135685,0.0670132491016454,-0.208134488652794,0.0545574478256565
6,11,6,14,-0.0773596252146403,0.0652851948699307,-0.205318607159705,0.0505993567304239
7,12,5,13,-0.0511423738976949,0.0661224123513429,-0.180742302106327,0.0784575543109373
8,13,4,10,-0.0683030400236502,0.0738215009871914,-0.212993181958545,0.076387101911245
9,14,3,9,-0.0521614228741911,0.0763329690180323,-0.201774042149534,0.0974511964011523
10,15,3,9,-0.0488947957085795,0.075698675168837,-0.1972641990395,0.099474607622341
11,16,3,9,-0.0513129821602798,0.0751137358013325,-0.198535904330891,0.0959099400103318
12,17,2,2,-0.0247067372573443,0.156527965616834,-0.331501549866339,0.282088075351651
13,18,1,1,-0.0807788702525526,0.216975384562371,-0.5060506239948,0.344492883489695
