"check","metric","value","note"
"V1","n_nochange_agencies","741","change.type=='No Change' in every row"
"V1","nochange_always0","41","No Change & no.req==0 always"
"V1","nochange_always1","700","No Change & no.req==1 always"
"V1","nochange_mixed","0","should be 0"
"V1","n_all_agencies","787",""
"V1","all_always0","41",""
"V1","all_always1","700",""
"V1","all_mixed","46","the changers (Dropped/Adopted)"
"V1","xt_always0_gname0","41","cross-tab cell"
"V1","xt_always1_gname1987","700","cross-tab cell"
"V1","partition_disagreements","0","agencies not fitting either partition"
"V1","split_is_41_700","TRUE","TRUE => hypothesis premise holds"
"V2","stacked_rows","278324",""
"V2","estimation_rows","171906","non-missing any.fatalities"
"V2","est_control_rows","171171","treat==0"
"V2","est_treated_rows","735","treat==1"
"V2","control_agencies","741","unique agency.id, treat==0, est sample"
"V2","control_agencies_with_noreq_variation","0",""
"V2","control_unitstacks","8151","agency x stack, treat==0"
"V2","control_unitstacks_with_noreq_variation","0",""
"V2","always1_control_agencies","700",""
"V2","always1_controls_with_noreq_variation","0","expect 0"
"V2","always0_control_agencies","41",""
"V2","est_rows_from_always1_controls","161700",""
"V2","share_est_rows_always1_controls","0.9406","share of rows fitting year.cohort FE"
"V2","n_yearcohort_levels","310",""
"V2","yearcohort_levels_touched_by_always1","231",""
"V3","n_obs","15561","2000-2020, non-changers, outcome observed"
"V3","n_units_always1","700",""
"V3","n_units_always0","41",""
"V3","slope_always1","0.007686","SE=0.000626"
"V3","slope_always0","0.005353","SE=0.002454"
"V3","slope_diff_always1_minus_always0","0.002333","SE=0.002655"
"V3","equal_slope_test_t","0.8787",""
"V3","equal_slope_test_p","0.3796","H0: equal slopes"
"V3","fitted_change_2000_2020_always1","0.15373",""
"V3","fitted_change_2000_2020_always0","0.10706",""
"V3","fitted_change_diff","0.04667","always1 minus always0"
"V4","cs_already_treated_gname1987","700","callaway_replication.R:17 recode; att_gt drops as already-treated"
"V4","stacked_clean_controls","741","treat==0 in stacked_fatal.csv"
"V4","agencies_receiving_both_treatments","700","already-treated by CS AND clean control by stack"
"V4","both_equals_always1_set","TRUE",""
"V4","cite_callaway_line","callaway_replication.R:17 (recode) + :52-58 (att_gt)","NA & no.req==1 -> 1987; att_gt drops gname==1987"
"V4","cite_stacked_construction","reconstruct_stacked.R: nochange<-dta[change.type=='No Change',]; treat<-0","authors' create_stacked_data.R not in zip; reconstruct_stacked.R replicates & matches"
