"g","e","att","catt","abs_diff"
2004,-4,-0.0822156072687709,-0.0822156072692141,4.43117764703516e-13
2004,-3,-0.0960898496368583,-0.0960898496372994,4.41091607683575e-13
2004,-2,0.0377812181369985,0.0377812181365462,4.52304860232289e-13
2004,0,0.192920730344731,0.192920730344267,4.63962201990853e-13
2004,1,0.300800575436203,0.300800575435734,4.69402294811516e-13
2004,2,0.342255174701805,0.34225517470127,5.35238520171788e-13
2004,3,0.303271099486361,0.303271099485892,4.68736160996741e-13
2004,4,0.500017553904259,0.500017553903778,4.8105963657008e-13
2004,5,0.50246552747741,0.502465527476903,5.06927833043846e-13
2004,6,0.490887057665858,0.490887057665379,4.79338790881911e-13
2004,7,0.662628628409595,0.662628628409103,4.91828799908944e-13
2004,8,0.680360857597962,0.680360857597469,4.92272889118794e-13
2004,9,0.651261695688334,0.651261695687843,4.90940621489244e-13
2004,10,0.653754349442615,0.653754349442124,4.91162666094169e-13
2007,-7,-0.129659387053033,-0.129659387052891,1.41386902186014e-13
2007,-6,-0.161861857242521,-0.161861857242377,1.4407919302073e-13
2007,-5,0.0792783254089525,0.0792783254090828,1.3029854972757e-13
2007,-4,-0.101329746519576,-0.101329746519214,3.62085361693687e-13
2007,-3,0.093414670073565,0.0934146700736898,1.24747434604444e-13
2007,-2,0.0602810164122766,0.0602810164124018,1.25233157177718e-13
2007,0,-0.0137773225677566,-0.0137773225676284,1.28183921810354e-13
2007,1,-0.0690663378999418,-0.0690663378998156,1.26190724536457e-13
2007,2,-0.00547244555451533,-0.0054724455544173,9.80292236274494e-14
2007,3,-0.166305508942174,-0.166305508942044,1.30007116183606e-13
2007,4,-0.124256705251646,-0.124256705251524,1.22443721828347e-13
2007,5,-0.180628124859021,-0.180628124858896,1.24927845845946e-13
2007,6,-0.204980713337743,-0.204980713337618,1.25566224085105e-13
2007,7,-0.342337008144831,-0.342337008144702,1.28286270495437e-13
2010,-10,-0.0787569849907638,-0.0787569849906885,7.52869988573934e-14
2010,-9,-0.102515979155805,-0.102515979155728,7.68551888796765e-14
2010,-8,0.0587140444574737,0.0587140444575395,6.58431642541757e-14
2010,-7,0.0742755257111966,0.0742755257114909,2.94264612676898e-13
2010,-6,0.148636399594504,0.148636399594563,5.88695758807489e-14
2010,-5,0.125739446678757,0.125739446678813,5.67323965583455e-14
2010,-4,0.26407623433885,0.264076234338842,8.65973959207622e-15
2010,-3,0.109357740765354,0.109357740765413,5.87446757904786e-14
2010,-2,0.172027252492786,0.172027252492839,5.31241717283137e-14
2010,0,0.127744105363072,0.127744105363127,5.54556400800266e-14
2010,1,0.39388029664052,0.393880296640566,4.53526105559376e-14
2010,2,0.325402499593926,0.325402499593973,4.69069227904129e-14
2010,3,0.472857834232476,0.472857834232521,4.57411886145564e-14
2010,4,0.534301491706115,0.534301491706161,4.59632332194815e-14
