"diagnostic","estimator","metric","value","note"
"D1_effective_cohorts","R2","eff_n_cohorts","5.2304","k=11"
"D1_effective_cohorts","R2h","eff_n_cohorts","5.6814","k=11"
"D1_effective_cohorts","R5","eff_n_cohorts","5.6427","k=13"
"D2_wald_equal_cohorts","stacked_741(R2)","chi2_stat","1676.202","df=10 p=0 dispersion_exceeds_sampling=TRUE"
"D2_wald_equal_cohorts","stacked_41(R2h)","chi2_stat","167.65","df=10 p=8.502e-31 dispersion_exceeds_sampling=TRUE"
"D2_wald_equal_cohorts","CS_41(R5)","chi2_stat","72.143","df=12 p=1.27e-10 dispersion_exceeds_sampling=TRUE"
"D2_wald_equal_cohorts","CS_741(R5d)","chi2_stat","457.116","df=12 p=2.91e-90 dispersion_exceeds_sampling=TRUE"
"D3_leave_one_cohort_out","R2","drop_2002","-0.10564","full=-0.09892 sign_flip=FALSE weight=0.0599"
"D3_leave_one_cohort_out","R2","drop_2004","-0.10288","full=-0.09892 sign_flip=FALSE weight=0.0565"
"D3_leave_one_cohort_out","R2","drop_2008","-0.09754","full=-0.09892 sign_flip=FALSE weight=0.0512"
"D3_leave_one_cohort_out","R2","drop_2009","-0.08766","full=-0.09892 sign_flip=FALSE weight=0.3692"
"D3_leave_one_cohort_out","R2","drop_2012","-0.10574","full=-0.09892 sign_flip=FALSE weight=0.0532"
"D3_leave_one_cohort_out","R2","drop_2013","-0.11492","full=-0.09892 sign_flip=FALSE weight=0.1532"
"D3_leave_one_cohort_out","R2","drop_2014","-0.0927","full=-0.09892 sign_flip=FALSE weight=0.0482"
"D3_leave_one_cohort_out","R2","drop_2017","-0.10334","full=-0.09892 sign_flip=FALSE weight=0.1002"
"D3_leave_one_cohort_out","R2","drop_2018","-0.08219","full=-0.09892 sign_flip=FALSE weight=0.0798"
"D3_leave_one_cohort_out","R2","drop_2019","-0.09369","full=-0.09892 sign_flip=FALSE weight=0.0187"
"D3_leave_one_cohort_out","R2","drop_2020","-0.0997","full=-0.09892 sign_flip=FALSE weight=0.0098"
"D3_leave_one_cohort_out","R2h","drop_2002","-0.10025","full=-0.09335 sign_flip=FALSE weight=0.0646"
"D3_leave_one_cohort_out","R2h","drop_2004","-0.0969","full=-0.09335 sign_flip=FALSE weight=0.0606"
"D3_leave_one_cohort_out","R2h","drop_2008","-0.09054","full=-0.09335 sign_flip=FALSE weight=0.0539"
"D3_leave_one_cohort_out","R2h","drop_2009","-0.07255","full=-0.09335 sign_flip=FALSE weight=0.3431"
"D3_leave_one_cohort_out","R2h","drop_2012","-0.09961","full=-0.09335 sign_flip=FALSE weight=0.0560"
"D3_leave_one_cohort_out","R2h","drop_2013","-0.11356","full=-0.09335 sign_flip=FALSE weight=0.1545"
"D3_leave_one_cohort_out","R2h","drop_2014","-0.08837","full=-0.09335 sign_flip=FALSE weight=0.0508"
"D3_leave_one_cohort_out","R2h","drop_2017","-0.10527","full=-0.09335 sign_flip=FALSE weight=0.1010"
"D3_leave_one_cohort_out","R2h","drop_2018","-0.07236","full=-0.09335 sign_flip=FALSE weight=0.0854"
"D3_leave_one_cohort_out","R2h","drop_2019","-0.08862","full=-0.09335 sign_flip=FALSE weight=0.0197"
"D3_leave_one_cohort_out","R2h","drop_2020","-0.09474","full=-0.09335 sign_flip=FALSE weight=0.0104"
"D3_leave_one_cohort_out","R5","drop_2001","0.05021","full=0.04477 sign_flip=FALSE weight=0.0610"
"D3_leave_one_cohort_out","R5","drop_2002","-0.02753","full=0.04477 sign_flip=TRUE weight=0.2896"
"D3_leave_one_cohort_out","R5","drop_2003","0.04988","full=0.04477 sign_flip=FALSE weight=0.0549"
"D3_leave_one_cohort_out","R5","drop_2004","0.07997","full=0.04477 sign_flip=FALSE weight=0.1037"
"D3_leave_one_cohort_out","R5","drop_2008","0.04847","full=0.04477 sign_flip=FALSE weight=0.0396"
"D3_leave_one_cohort_out","R5","drop_2009","0.11935","full=0.04477 sign_flip=FALSE weight=0.2561"
"D3_leave_one_cohort_out","R5","drop_2012","0.04052","full=0.04477 sign_flip=FALSE weight=0.0274"
"D3_leave_one_cohort_out","R5","drop_2013","0.02447","full=0.04477 sign_flip=FALSE weight=0.0732"
"D3_leave_one_cohort_out","R5","drop_2014","0.04817","full=0.04477 sign_flip=FALSE weight=0.0213"
"D3_leave_one_cohort_out","R5","drop_2017","0.01906","full=0.04477 sign_flip=FALSE weight=0.0366"
"D3_leave_one_cohort_out","R5","drop_2018","0.03953","full=0.04477 sign_flip=FALSE weight=0.0274"
"D3_leave_one_cohort_out","R5","drop_2019","0.04519","full=0.04477 sign_flip=FALSE weight=0.0061"
"D3_leave_one_cohort_out","R5","drop_2020","0.0446","full=0.04477 sign_flip=FALSE weight=0.0030"
"D3_cohort2009_weight","R2","weight_2009","0.3692","assumptions.md §9 ~0.37"
"D3_cohort2009_weight","R2h","weight_2009","0.3431",""
"D4_weight_concentration","R2","top1_share","0.3692",""
"D4_weight_concentration","R2","top3_share","0.6225",""
"D4_weight_concentration","R2h","top1_share","0.3431",""
"D4_weight_concentration","R2h","top3_share","0.5985",""
"D4_weight_concentration","R5","top1_share","0.2896",""
"D4_weight_concentration","R5","top3_share","0.6494",""
"D4_weight_concentration","R5d","top1_share","0.2896",""
"D4_weight_concentration","R5d","top3_share","0.6494",""
"D5_no_clean_controls","stacked_741","cohorts_zero_control_rows","2000;2001;2002;2003",""
"D5_no_clean_controls","stacked_41","cohorts_zero_control_rows","2000;2001;2002;2003",""
"D5_no_clean_controls","stacked_741","cohorts_unidentified","2000;2001;2003;2016","treated-only or collinear"
"D5_no_clean_controls","stacked_41","cohorts_unidentified","2000;2001;2003;2016",""
