"stack","V_s","w_s","treated_share","post_share","N","beta_s"
2000,0,0,1,1,105,NA
2001,0,0,1,0.952380952380952,21,NA
2002,5.79047619047619,0.059945362960024,1,0.904761904761905,105,0.00657894736842106
2003,0,0,1,0.8125,16,NA
2004,5.4589483592179,0.0565132521072387,0.00192418703097941,0.80937720479764,15591,-0.032807699542291
2008,4.9457065845206,0.0511999646575676,0.00134770889487871,0.619047619047619,15582,-0.124377141077545
2009,35.6631016042781,0.369198922441792,0.0101145038167939,0.57175572519084,15720,-0.118142578668894
2012,5.13592606854062,0.0531691940674741,0.00134770889487871,0.428571428571429,15582,0.0226420752736543
2013,14.7972350230415,0.153186991031916,0.00403225806451613,0.380952380952381,15624,-0.0104199107235544
2014,4.66037735849057,0.0482461205427079,0.00134770889487871,0.333333333333333,15582,-0.221515326778488
2016,0,0,0.00032121289991006,0.238339971733265,15566,NA
2017,9.67511520737327,0.100160724905484,0.00403225806451613,0.19047619047619,15624,-0.0591609113280938
2018,7.71082949308756,0.079825640842153,0.00403225806451613,0.142857142857143,15624,-0.291722695353351
2019,1.80708509819022,0.0187076793941112,0.00134770889487871,0.0952380952380952,15582,-0.373215427232052
2020,0.951097420100115,0.00984614704953223,0.00134770889487871,0.0476190476190476,15582,-0.019838056680162
