"stack","V_s","w_s","treated_share","post_share","N","beta_s"
2000,0,0,1,1,105,NA
2001,0,0,1,0.952380952380952,21,NA
2002,5.79047619047619,0.119809915420777,1,0.904761904761905,105,0.00657894736842106
2003,0,0,1,0.8125,16,NA
2004,5.12446887919396,0.106029653312872,0.413675053821377,0.778005710185038,15591,-0.022598424474221
2008,3.3138361077631,0.068566109371527,0.330860016701682,0.619047619047619,15582,-0.122954964747335
2009,8.23743975776846,0.170439688930113,0.784734009088697,0.596810803528475,15720,-0.11364446361771
2012,3.44968024426044,0.0713768409881985,0.329228841393804,0.428571428571429,15582,0.0176509856676268
2013,6.09639818912478,0.12613970377976,0.589665506501217,0.380952380952381,15624,-0.00295337518914563
2014,3.14354047219884,0.0650425467106463,0.32638418452882,0.333333333333333,15582,-0.218164412616791
2016,7.55225863543152e-44,1.56262704237538e-45,0.0918400438237889,0.308068604818125,15566,-193.984305066173
2017,4.10681219173271,0.0849734642117662,0.577239921439279,0.19047619047619,15624,-0.0527012542407279
2018,7.21000400410302,0.149181162567566,0.588328661879813,0.142857142857143,15624,-0.346076394078381
2019,1.21739663665838,0.0251889798478877,0.327228174478267,0.0952380952380952,15582,-0.370124123702834
2020,0.640472977621505,0.0132519348588869,0.327503373497419,0.0476190476190476,15582,-0.0191348928931971
