"stack","drop","adopt","absorbed","never","always","notyet","identified"
2000,5,0,0,0,0,0,"-- (no contrast)"
2001,1,0,0,0,0,0,"-- (no contrast)"
2002,4,1,0,0,0,0,"within-treated: drop vs.\ adopt"
2003,0,1,0,0,0,0,"-- (no contrast)"
2004,1,1,0,41,700,0,"vs.\ controls"
2008,1,0,0,41,700,0,"vs.\ controls"
2009,7,0,1,41,700,0,"vs.\ controls"
2012,0,1,0,41,700,0,"vs.\ controls"
2013,3,0,0,41,700,0,"vs.\ controls"
2014,1,0,0,41,700,0,"vs.\ controls"
2016,0,0,1,41,700,0,"-- (treated unit absorbed)"
2017,3,0,0,41,700,0,"vs.\ controls"
2018,1,2,0,41,700,0,"vs.\ controls"
2019,1,0,0,41,700,0,"vs.\ controls"
2020,1,0,0,41,700,0,"vs.\ controls"
