"dropped","stacks","N_plain","plain_est","plain_se","m4_est","m4_se","plain_delta","m4_delta"
"(none - full sample)",15,171906,-0.0989153732582026,0.0394406204025889,-0.089136959206454,0.00442614448126595,0,0
"2000",14,171801,-0.0989153732582027,0.0394406524807076,-0.0831766498724389,0.00425422298937,-5.55111512312578e-17,0.00596030933401506
"2001",14,171885,-0.0989153732582028,0.0394406204025889,-0.089136959206454,0.00442614448126595,-1.52655665885959e-16,-2.77555756156289e-17
"2002",14,171801,-0.10564253047972,0.040677819972006,-0.107394777534911,0.00451203566762615,-0.00672715722151716,-0.0182578183284569
"2003",14,171890,-0.0989153732582027,0.0394406204025889,-0.089136959206454,0.00442614448126595,-8.32667268468867e-17,-1.38777878078145e-17
"2004",14,156315,-0.102875110519245,0.0406079542077696,-0.0974044716635184,0.00484619329749887,-0.00395973726104192,-0.00826751245706438
"2008",14,156324,-0.0975413834142846,0.0404913616720833,-0.0890942800582797,0.00466072545796312,0.00137398984391801,4.26791481743377e-05
"2009",14,156186,-0.0876619626795888,0.0496550124266276,-0.0969002172295149,0.00444659148027844,0.0112534105786138,-0.00776325802306091
"2012",14,156324,-0.105741420246578,0.0405321890993912,-0.0950473434247253,0.00473479437180591,-0.00682604698837579,-0.00591038421827129
"2013",14,156282,-0.114924047525241,0.0428591554142659,-0.103425391147284,0.0047200298190358,-0.0160086742670381,-0.0142884319408302
"2014",14,156324,-0.0927005605174941,0.0404292814695051,-0.0832456645777337,0.00466703857692403,0.00621481274070854,0.00589129462872033
"2016",14,156340,-0.0989153732582026,0.039440705220715,-0.0883795139226189,0.00455083319787164,2.77555756156289e-17,0.000757445283835131
"2017",14,156282,-0.103340425415132,0.0415796892870508,-0.0971142570322145,0.00466136683264172,-0.00442505215692963,-0.00797729782576045
"2018",14,156282,-0.0821892301179059,0.0411132574622153,-0.0439984753864053,0.00479183455885811,0.0167261431402968,0.0451384838200487
"2019",14,156324,-0.0936860268547153,0.0398134516330879,-0.0790599887973678,0.0045700828003408,0.00522934640348732,0.0100769704090862
"2020",14,156324,-0.0997017226573284,0.0396384067216747,-0.0900398920757821,0.00457467788627676,-0.000786349399125821,-0.000902932869328091
