"dropped","cohorts","plain_est","plain_se","cov_est","cov_se","cov_label","plain_delta","cov_delta","stack"
"(none - full)",15,-0.0989153732582026,0.0394406204025889,-0.089136959206454,0.00442614448126595,"m4 (cov+weights)",0,0,"shipped-11"
"2000",14,-0.0989153732582027,0.0394406524807076,-0.0831766498724389,0.00425422298937,"m4 (cov+weights)",-5.55111512312578e-17,0.00596030933401506,"shipped-11"
"2001",14,-0.0989153732582028,0.0394406204025889,-0.089136959206454,0.00442614448126595,"m4 (cov+weights)",-1.52655665885959e-16,-2.77555756156289e-17,"shipped-11"
"2002",14,-0.10564253047972,0.040677819972006,-0.107394777534911,0.00451203566762615,"m4 (cov+weights)",-0.00672715722151716,-0.0182578183284569,"shipped-11"
"2003",14,-0.0989153732582027,0.0394406204025889,-0.089136959206454,0.00442614448126595,"m4 (cov+weights)",-8.32667268468867e-17,-1.38777878078145e-17,"shipped-11"
"2004",14,-0.102875110519245,0.0406079542077696,-0.0974044716635184,0.00484619329749887,"m4 (cov+weights)",-0.00395973726104192,-0.00826751245706438,"shipped-11"
"2008",14,-0.0975413834142846,0.0404913616720833,-0.0890942800582797,0.00466072545796312,"m4 (cov+weights)",0.00137398984391801,4.26791481743377e-05,"shipped-11"
"2009",14,-0.0876619626795888,0.0496550124266276,-0.0969002172295149,0.00444659148027844,"m4 (cov+weights)",0.0112534105786138,-0.00776325802306091,"shipped-11"
"2012",14,-0.105741420246578,0.0405321890993912,-0.0950473434247253,0.00473479437180591,"m4 (cov+weights)",-0.00682604698837579,-0.00591038421827129,"shipped-11"
"2013",14,-0.114924047525241,0.0428591554142659,-0.103425391147284,0.0047200298190358,"m4 (cov+weights)",-0.0160086742670381,-0.0142884319408302,"shipped-11"
"2014",14,-0.0927005605174941,0.0404292814695051,-0.0832456645777337,0.00466703857692403,"m4 (cov+weights)",0.00621481274070854,0.00589129462872033,"shipped-11"
"2016",14,-0.0989153732582026,0.039440705220715,-0.0883795139226189,0.00455083319787164,"m4 (cov+weights)",2.77555756156289e-17,0.000757445283835131,"shipped-11"
"2017",14,-0.103340425415132,0.0415796892870508,-0.0971142570322145,0.00466136683264172,"m4 (cov+weights)",-0.00442505215692963,-0.00797729782576045,"shipped-11"
"2018",14,-0.0821892301179059,0.0411132574622153,-0.0439984753864053,0.00479183455885811,"m4 (cov+weights)",0.0167261431402968,0.0451384838200487,"shipped-11"
"2019",14,-0.0936860268547153,0.0398134516330879,-0.0790599887973678,0.0045700828003408,"m4 (cov+weights)",0.00522934640348732,0.0100769704090862,"shipped-11"
"2020",14,-0.0997017226573284,0.0396384067216747,-0.0900398920757821,0.00457467788627676,"m4 (cov+weights)",-0.000786349399125821,-0.000902932869328091,"shipped-11"
"(none - full)",15,-0.0933156819928496,0.0381540509248065,-0.0919541807286094,0.0381319806086417,"m3 (cov, no wts)",0,0,"reconstructed-15"
"2000",14,-0.0933156819928503,0.0381535544443947,-0.0919556400773863,0.0381330677023742,"m3 (cov, no wts)",-6.93889390390723e-16,-1.4593487768777e-06,"reconstructed-15"
"2001",14,-0.0933005821528904,0.0383325228735877,-0.0919328828573775,0.0383121306367715,"m3 (cov, no wts)",1.50998399591901e-05,2.12978712319234e-05,"reconstructed-15"
"2002",14,-0.100983553893022,0.0399381701207371,-0.0990748626109776,0.039916126710006,"m3 (cov, no wts)",-0.00766787190017253,-0.00712068188236818,"reconstructed-15"
"2003",14,-0.0972712015079206,0.0386130580107531,-0.0954914374868005,0.0385927991193754,"m3 (cov, no wts)",-0.00395551951507095,-0.00353725675819104,"reconstructed-15"
"2004",14,-0.0966945501058872,0.0392071024933548,-0.0962392285946587,0.0391881351943831,"m3 (cov, no wts)",-0.00337886811303759,-0.0042850478660493,"reconstructed-15"
"2008",14,-0.0917524420765034,0.0391026958020341,-0.089902113269134,0.0390791928929601,"m3 (cov, no wts)",0.00156323991634626,0.00205206745947541,"reconstructed-15"
"2009",14,-0.0802089566586184,0.0471591898611874,-0.0773755646121445,0.0471108267971543,"m3 (cov, no wts)",0.0131067253342313,0.0145786161164649,"reconstructed-15"
"2012",14,-0.0993877338304658,0.0391397330682339,-0.0972514785982938,0.0391215811329633,"m3 (cov, no wts)",-0.00607205183761614,-0.00529729786968434,"reconstructed-15"
"2013",14,-0.10718853981554,0.0412227324884386,-0.104613692287183,0.0411986250235565,"m3 (cov, no wts)",-0.0138728578226907,-0.0126595115585738,"reconstructed-15"
"2014",14,-0.0872535666526696,0.0390466029146943,-0.0872659343365476,0.0390237928965727,"m3 (cov, no wts)",0.00606211534018006,0.00468824639206179,"reconstructed-15"
"2016",14,-0.0933156819928496,0.0381540607023107,-0.0919432801987352,0.0381335612614962,"m3 (cov, no wts)",0,1.09005298742498e-05,"reconstructed-15"
"2017",14,-0.0968483564427585,0.0400799404874012,-0.0967441027918195,0.0400570082661094,"m3 (cov, no wts)",-0.00353267444990892,-0.00478992206321005,"reconstructed-15"
"2018",14,-0.0772969233698427,0.0396625667083249,-0.0764167703367294,0.0396437241769232,"m3 (cov, no wts)",0.016018758623007,0.01553741039188,"reconstructed-15"
"2019",14,-0.0883279543273219,0.0384915119381873,-0.0871654944735526,0.0384715053289403,"m3 (cov, no wts)",0.00498772766552773,0.00478868625505684,"reconstructed-15"
"2020",14,-0.0939990447180615,0.0383325146648522,-0.0927777125818903,0.038311513174799,"m3 (cov, no wts)",-0.000683362725211842,-0.000823531853280823,"reconstructed-15"
