"stack","cohort","n_treat","n_ctrl","n_leads","wald_stat","pretrend_p","pretrend_p_hetero","reason"
"shipped-11",2000,5,0,0,NA,NA,NA,"no clean controls (leads collinear)"
"shipped-11",2001,1,0,0,NA,NA,NA,"no clean controls (leads collinear)"
"shipped-11",2002,5,0,1,NA,NA,NA,"no clean controls (leads collinear)"
"shipped-11",2003,1,0,2,NA,NA,NA,"no clean controls (leads collinear)"
"shipped-11",2004,2,741,3,1.15329376053589,0.32609720133616,0.34373739713341,"tested"
"shipped-11",2008,1,741,3,2.49174300398646,0.0583045319038168,0.0580601760841617,"tested"
"shipped-11",2009,8,741,3,1.24799919821615,0.290569796909743,0.37561010941438,"tested"
"shipped-11",2012,1,741,3,1.3938910642783,0.242616426674086,0.24897998934846,"tested"
"shipped-11",2013,3,741,3,0.996113956556885,0.393503573192235,0.660020096805814,"tested"
"shipped-11",2014,1,741,3,2.00035142906658,0.111682192023131,0.128231075983495,"tested"
"shipped-11",2016,1,741,0,NA,NA,NA,"no observed treated pre-period"
"shipped-11",2017,3,741,3,789.845534192756,0,0.00726937783299534,"tested"
"shipped-11",2018,3,741,3,2.68275940220328,0.0451533447456554,0.171612405356739,"tested"
"shipped-11",2019,1,741,3,1606.06817844845,0,0,"tested"
"shipped-11",2020,1,741,3,0.88599690095236,0.447541728712471,0.457174156175052,"tested"
"reconstructed-15",2000,5,741,0,NA,NA,NA,"no observed treated pre-period"
"reconstructed-15",2001,1,741,0,NA,NA,NA,"no observed treated pre-period"
"reconstructed-15",2002,5,741,1,3.52637025329733,0.0604650200412313,0.0563276095760459,"tested"
"reconstructed-15",2003,1,741,2,1.20441049896091,0.299952681158102,0.314240933984666,"tested"
"reconstructed-15",2004,2,741,3,1.15329376053589,0.32609720133616,0.34373739713341,"tested"
"reconstructed-15",2008,1,741,3,2.49174300398646,0.0583045319038168,0.0580601760841617,"tested"
"reconstructed-15",2009,8,741,3,1.24799919821615,0.290569796909743,0.37561010941438,"tested"
"reconstructed-15",2012,1,741,3,1.3938910642783,0.242616426674086,0.24897998934846,"tested"
"reconstructed-15",2013,3,741,3,0.996113956556885,0.393503573192235,0.660020096805814,"tested"
"reconstructed-15",2014,1,741,3,2.00035142906658,0.111682192023131,0.128231075983495,"tested"
"reconstructed-15",2016,1,741,0,NA,NA,NA,"no observed treated pre-period"
"reconstructed-15",2017,3,741,3,789.845534192756,0,0.00726937783299534,"tested"
"reconstructed-15",2018,3,741,3,2.68275940220328,0.0451533447456554,0.171612405356739,"tested"
"reconstructed-15",2019,1,741,3,1606.06817844845,0,0,"tested"
"reconstructed-15",2020,1,741,3,0.88599690095236,0.447541728712471,0.457174156175052,"tested"
